"facility","category","phone","meals","pets","carts","geo_local_area","latitude","longitude"
"Triage","Adults","604-254-3700","no","no","no","Strathcona",49.2832570133305,-123.089140653353
"Union Gospel Mission","Males","604-253-3323","yes","no","no","Strathcona",49.2818717032054,-123.090986046798
"Vineyard Church","Adults","604-255-4463","yes","no","no","Grandview-Woodland",49.269335660055,-123.070551901448
"Aboriginal Shelter","Adults","604-347-0299","yes","yes","yes","Strathcona",49.2715743525382,-123.099346861579
"Dusk to Dawn-Directions Youth Centre","Youths","604-633-1472","yes","no","no","Downtown",49.2795668777312,-123.127803623094
"First United Church","Adults","604-681-8365","yes","yes","yes","Strathcona",49.2809855276449,-123.097041791736
"The Haven","Males","604-646-6800","no","no","no","Downtown",49.282056211987,-123.101094747193
"Catholic Charities Men's Hostel","Males","604-443-3292","no","no","no","Downtown",49.2776933723772,-123.114775673162
"Tenth Avenue Church","Adults","604-876-2181","yes","no","no","Mount Pleasant",49.2623383051957,-123.105860462078
"Yukon Shelter","Adults","604-264-1680","no","yes","no","Mount Pleasant",49.2668908850447,-123.11236726194
"Grandview Calvary Baptist Church","Adults","604-255-1411","yes","no","no","Grandview-Woodland",49.2697474511455,-123.067356357987
"Lookout Downtown","Adults","604-681-9126","no","yes","no","Strathcona",49.2837440877132,-123.096207657871
"The Beacon","Males","604-646-6846","no","no","no","Downtown",49.282056211987,-123.101094747193
"Anchor of Hope","Adults","604-646-6899","yes","no","no","Downtown",49.282056211987,-123.101094747193
"Crosswalk","Adults","604-669-4349","no","no","no","Downtown",49.2818050794721,-123.107672478832
"First Baptist Church","Adults","604-683-8441","yes","no","no","West End",49.2818511547644,-123.126458247518
"Belkin House","Adults","604-681-3405","no","no","no","Downtown",49.2824583814306,-123.112939685345
